,Emp ID,First Name,Last Name,DOB,SSN,State
0,232,John,Mathews,02/24/1991,***-**-9165,OR
1,533,Nathan,Moore,11/19/1978,***-**-7469,OR
2,256,Amanda,Douglas,01/08/1990,***-**-6961,OR
3,189,Heather,Andrews,08/11/1976,***-**-1797,OR
4,284,Daniel,Hernandez,07/22/1976,***-**-7473,OR
5,512,Danny,Pena,01/31/1978,***-**-9878,OR
6,126,Gary,Knight,03/08/1994,***-**-1242,OR
7,556,Robin,Carroll,10/14/1972,***-**-7194,OR
8,595,Michelle,Dickerson,02/08/1984,***-**-2817,OR
9,191,Kimberly,Gallegos,08/05/1972,***-**-7563,OR
10,55,Morgan,Parker,01/30/1986,***-**-4320,OR
11,623,Mason,Rhodes,01/28/1977,***-**-4767,OR
12,426,Amy,Griffin,02/18/1973,***-**-1946,OR
13,535,Danielle,House,04/16/1975,***-**-9308,OR
14,399,Charles,Greene,11/28/1992,***-**-2935,OR
15,33,Nicholas,Martinez,04/05/1979,***-**-1689,OR
16,302,Tracey,Meadows,01/12/1988,***-**-6175,OR
17,325,Renee,Evans,03/14/1991,***-**-2708,OR
18,188,Joseph,Estrada,03/29/1984,***-**-2571,OR
19,184,Jeremy,Warner,10/20/1987,***-**-1184,OR
20,526,Anthony,Rodriguez,02/09/1983,***-**-3865,OR
21,85,Kristen,Lopez,01/02/1978,***-**-8194,OR
22,171,Mark,Mcdonald,06/27/1984,***-**-0101,OR
23,74,Robert,Freeman,01/01/1984,***-**-5211,OR
24,69,Michael,Reynolds,10/30/1994,***-**-8507,OR
25,365,Kristine,Little,07/10/1974,***-**-1771,OR
26,149,April,Barnes,02/15/1983,***-**-3288,OR
27,218,Pamela,Hodges,02/19/1989,***-**-1423,OR
28,647,Ronald,Gilbert,05/26/1974,***-**-4448,OR
29,518,Thomas,Cooper,08/17/1972,***-**-9890,OR
30,12,Dakota,Harrington,08/24/1972,***-**-7188,OR
31,622,Jennifer,Porter,01/20/1991,***-**-5572,OR
32,159,Beverly,Jordan,08/15/1986,***-**-3762,OR
33,394,Mark,Brown,04/02/1975,***-**-8531,OR
34,158,Amy,Ford,06/05/1974,***-**-6461,OR
35,446,Benjamin,King,05/07/1973,***-**-8165,OR
36,352,Stephen,Bryant,05/15/1991,***-**-6488,OR
37,598,Brandi,Williams,10/15/1989,***-**-8500,OR
38,505,Ashley,Hutchinson,04/26/1994,***-**-1510,OR
39,173,Alisha,Pacheco,01/13/1982,***-**-2496,OR
40,84,Robert,Campbell,02/27/1973,***-**-9581,OR
41,406,Sandra,Sanders,10/06/1980,***-**-1673,OR
42,164,Katherine,Hensley,05/29/1991,***-**-7226,OR
43,267,Stacy,Cox,11/08/1976,***-**-0990,OR
44,503,Frank,Barton,06/10/1993,***-**-5568,OR
45,295,Shannon,Kramer,05/04/1980,***-**-7615,OR
46,590,Brenda,James,12/31/1977,***-**-3251,OR
47,97,Paula,Edwards,08/10/1988,***-**-0638,OR
48,3,Jennifer,Rowe,09/16/1980,***-**-9014,OR
49,20,David,Foster,01/09/1990,***-**-6956,OR
50,179,William,Boyle,01/30/1988,***-**-0490,OR
51,86,Christopher,Greene,05/29/1972,***-**-8446,OR
52,219,Matthew,Fuller,04/27/1980,***-**-2989,OR
53,237,Gabriela,Nguyen,12/17/1981,***-**-3729,OR
54,96,Allison,Diaz,03/25/1994,***-**-8927,OR
55,22,Isaac,Jordan,05/06/1986,***-**-0520,OR
56,439,Cheryl,Bailey,10/31/1991,***-**-1224,OR
57,146,Julie,Castillo,02/16/1988,***-**-4523,OR
58,271,Michael,Adams,12/10/1986,***-**-3927,OR
59,103,Melinda,Parsons,02/07/1986,***-**-8751,OR
60,540,Robert,Campbell,01/17/1987,***-**-3694,OR
61,144,Julie,Nelson,08/08/1994,***-**-1332,OR
62,594,Steven,Nelson,04/14/1989,***-**-2085,OR
63,176,Hailey,Lynn,03/25/1973,***-**-9488,OR
64,198,Dillon,Nguyen,05/26/1978,***-**-4552,OR
65,433,Hannah,Miller,10/18/1973,***-**-4657,OR
66,274,Jeffrey,Harris,05/25/1994,***-**-4763,OR
67,6,Daniel,Welch,08/08/1982,***-**-6950,OR
68,452,Bryan,Jackson,09/08/1982,***-**-8117,OR
69,23,Denise,George,09/07/1990,***-**-4879,OR
70,373,Alicia,Carney,09/10/1989,***-**-9437,OR
71,374,William,Peters,03/20/1986,***-**-7516,OR
72,200,Dustin,Drake,09/17/1993,***-**-5454,OR
73,428,Jessica,Thornton,01/03/1983,***-**-2381,OR
74,116,Rebecca,Wilson,06/08/1980,***-**-6629,OR
75,418,Katherine,Lane,11/01/1986,***-**-6820,OR
76,9,Sarah,Harper,07/27/1993,***-**-5891,OR
77,230,Jermaine,Hill,09/11/1988,***-**-5479,OR
78,502,Michael,Marshall,04/05/1990,***-**-5125,OR
79,632,Kirsten,Mcbride,09/10/1973,***-**-2372,OR
80,112,Rachael,Holmes,07/30/1973,***-**-2067,OR
81,422,Leon,Foster,09/19/1975,***-**-3153,OR
82,131,David,Mcclain,08/02/1976,***-**-5430,OR
83,404,Emily,Lawrence,11/24/1991,***-**-1991,OR
84,504,Troy,Booth,12/27/1990,***-**-5141,OR
85,194,Stephanie,Ho,04/25/1983,***-**-3656,OR
86,567,Michele,Hendricks,03/10/1990,***-**-7341,OR
87,253,Eric,Harper,11/12/1986,***-**-2860,OR
88,407,Jonathan,Gomez,06/05/1993,***-**-4727,OR
89,82,Kevin,Garcia,11/25/1977,***-**-4722,OR
90,429,Howard,Lawson,04/13/1984,***-**-7664,OR
91,78,Stacy,Robertson,09/24/1974,***-**-0248,OR
92,167,John,Beck,07/27/1985,***-**-3635,OR
93,484,Julia,Morgan,03/18/1976,***-**-1731,OR
94,60,Allen,Leon,04/06/1975,***-**-9089,OR
95,400,James,Rios,03/04/1978,***-**-3987,OR
96,34,Ralph,Wells,10/19/1988,***-**-4237,OR
97,596,Megan,Chavez,10/08/1991,***-**-7659,OR
98,279,Ashley,Patrick,06/07/1974,***-**-0763,OR
99,466,Bonnie,Bowen,11/07/1993,***-**-5889,OR
100,327,Andrew,Lawson,04/05/1982,***-**-7313,OR
101,382,Tonya,Chavez,04/17/1984,***-**-5703,OR
102,369,Michelle,Larson,03/20/1980,***-**-3866,OR
103,347,Mark,Garrett,09/18/1985,***-**-4408,OR
104,25,Chelsea,Rivera,06/21/1987,***-**-0140,OR
105,317,Amanda,Krause,11/06/1977,***-**-4744,OR
106,321,Paige,Spencer,09/02/1991,***-**-8621,OR
107,193,Rhonda,Gonzales,06/07/1976,***-**-4110,OR
108,606,Jasmine,Kelly,06/30/1979,***-**-3251,OR
109,123,Amy,Sherman,08/04/1973,***-**-6029,OR
110,566,David,Arroyo,04/16/1975,***-**-9403,OR
111,409,Robert,Lin,11/12/1975,***-**-0121,OR
112,265,Paul,Wilson,06/19/1993,***-**-9871,OR
113,490,Paul,Meyers,03/13/1989,***-**-1680,OR
114,311,Jessica,Elliott,06/04/1978,***-**-1632,OR
115,537,Anthony,Richmond,10/05/1989,***-**-8935,OR
116,147,William,Rivera,03/08/1975,***-**-7032,OR
117,304,Sheri,Villegas,02/13/1985,***-**-8629,OR
118,472,Kelly,Hopkins,10/08/1984,***-**-6875,OR
119,348,Darren,Farrell,05/24/1991,***-**-5885,OR
120,91,Darlene,Harmon,05/05/1980,***-**-3052,OR
121,410,Rachel,Lyons,08/29/1972,***-**-0900,OR
122,344,David,Jacobs,02/28/1982,***-**-3682,OR
123,419,Christina,Weeks,10/15/1972,***-**-2028,OR
124,1,Andrea,Anderson,11/12/1984,***-**-5650,OR
125,532,Jennifer,Smith,01/31/1989,***-**-1748,OR
126,107,Shirley,Andrews,12/07/1981,***-**-5306,OR
127,166,Adrian,Rivera,02/13/1973,***-**-5638,OR
128,391,George,Mckinney,02/04/1984,***-**-7748,OR
129,67,Hailey,Boyd,11/17/1980,***-**-0270,OR
130,447,Tiffany,Harris,01/12/1983,***-**-9733,OR
131,653,Mary,Hunter,11/01/1977,***-**-6623,OR
132,294,Robert,Edwards,04/07/1980,***-**-5215,OR
133,416,Barbara,Lambert,09/07/1979,***-**-5353,OR
134,185,Angela,Armstrong,03/22/1990,***-**-2446,OR
135,637,Brett,Ward,09/27/1979,***-**-0204,OR
136,333,Troy,Sanchez,11/15/1990,***-**-2052,OR
137,579,Garrett,Carter,09/26/1988,***-**-7246,OR
138,215,James,Reeves,01/31/1988,***-**-1620,OR
139,152,Mary,Baker,07/08/1979,***-**-0954,OR
140,301,Alexandra,Bradley,06/13/1980,***-**-9390,OR
141,572,Aaron,James,03/25/1974,***-**-4596,OR
142,165,Thomas,Wood,08/21/1979,***-**-8269,OR
143,639,Charlene,Jackson,10/28/1989,***-**-8809,OR
144,405,Mary,Robbins,12/01/1975,***-**-9514,OR
145,390,Kayla,Washington,10/08/1985,***-**-6218,OR
146,641,Kimberly,Knapp,11/23/1992,***-**-1122,OR
147,51,Nicholas,Brown,09/18/1988,***-**-2869,OR
148,421,Rebecca,Marshall,05/06/1974,***-**-1020,OR
149,106,Mark,Smith,07/07/1979,***-**-5381,OR
150,379,Adam,Harrell,10/18/1981,***-**-0742,OR
151,76,Steve,Daniels,09/14/1980,***-**-3537,OR
152,68,Victoria,Potter,03/25/1988,***-**-4290,OR
153,118,Kathy,Preston,03/06/1990,***-**-9960,OR
154,127,Michael,Donaldson,01/01/1995,***-**-7624,OR
155,542,Brian,Bridges,02/22/1976,***-**-4546,OR
156,181,Martha,Gonzalez,01/17/1981,***-**-8342,OR
157,111,Paul,Rogers,01/10/1992,***-**-6284,OR
158,481,Dawn,Galvan,09/03/1989,***-**-8058,OR
159,568,Amber,West,01/19/1978,***-**-7363,OR
160,395,Christopher,Guerrero,01/29/1983,***-**-4036,OR
161,345,Stacy,Brooks,06/17/1991,***-**-4661,OR
162,438,Danielle,Kaiser,08/21/1975,***-**-9764,OR
163,403,Taylor,Boyle,09/26/1979,***-**-9756,OR
164,180,Donna,Howard,12/16/1978,***-**-3416,OR
165,616,Anne,Rios,11/26/1974,***-**-6513,OR
166,56,Theresa,Barnes,09/28/1976,***-**-2054,OR
167,153,Lori,Tate,03/08/1977,***-**-9123,OR
168,551,Alexandria,Baker,11/02/1974,***-**-3200,OR
169,135,Stephen,Hensley,09/30/1978,***-**-5372,OR
170,500,Jennifer,Fischer,11/19/1983,***-**-5609,OR
171,24,Pamela,Robinson,02/21/1981,***-**-4275,OR
172,81,Brendan,Gonzalez,08/02/1991,***-**-9993,OR
173,50,Richard,Turner,12/24/1982,***-**-9924,OR
174,328,Michael,Robinson,10/22/1973,***-**-2355,OR
175,402,Patricia,Sharp,07/13/1987,***-**-0306,OR
176,255,Elizabeth,Avila,03/15/1977,***-**-8453,OR
177,413,Christopher,Martinez,12/28/1978,***-**-8774,OR
178,507,Isaac,Woods,03/20/1984,***-**-6227,OR
179,62,Adriana,Wolf,10/17/1994,***-**-1702,OR
180,150,David,Pearson,06/14/1982,***-**-1781,OR
181,109,Matthew,Kramer,05/14/1988,***-**-4860,OR
182,310,Pamela,Archer,10/25/1987,***-**-2625,OR
183,243,Charles,Stout,12/05/1976,***-**-1997,OR
184,72,Daniel,Boyd,07/18/1978,***-**-1220,OR
185,608,Jimmy,Jones,02/19/1973,***-**-2030,OR
186,19,Rebecca,Hammond,02/21/1972,***-**-2706,OR
187,30,Emily,Diaz,12/04/1986,***-**-9174,OR
188,119,Chad,Wise,11/10/1988,***-**-1355,OR
189,162,Todd,Duran,01/14/1976,***-**-1832,OR
190,199,Brian,Mclaughlin,09/21/1987,***-**-2876,OR
191,187,Katherine,Rogers,05/13/1988,***-**-9500,OR
192,102,Joseph,Adams,01/18/1979,***-**-7778,OR
193,385,David,Lowery,10/21/1987,***-**-7963,OR
194,626,Janice,Young,07/07/1988,***-**-4863,OR
195,528,Anna,Matthews,02/09/1991,***-**-4474,OR
196,31,Katie,Garcia,03/22/1983,***-**-8462,OR
197,43,Maria,Estrada,04/30/1990,***-**-8108,OR
198,169,Ashley,Smith,07/16/1983,***-**-8720,OR
199,204,Amy,Wright,10/15/1991,***-**-8641,OR
200,494,Heather,Scott,08/20/1982,***-**-0361,OR
201,233,John,Anderson,05/30/1973,***-**-6681,OR
202,638,John,Anderson,01/07/1983,***-**-7935,OR
203,57,Kimberly,Harris,10/01/1988,***-**-5459,OR
204,648,Christopher,Smith,11/23/1976,***-**-2521,OR
205,192,Daniel,Singh,12/25/1980,***-**-7521,OR
206,73,Miranda,Nguyen,08/12/1981,***-**-2585,OR
207,477,Gregory,Simpson,07/09/1990,***-**-9365,OR
208,411,Daniel,Brown,04/19/1984,***-**-6526,OR
209,630,Susan,Thompson,05/17/1985,***-**-6074,OR
210,600,Rick,Johns,07/30/1984,***-**-7121,OR
211,634,Sean,Calhoun,07/31/1978,***-**-2261,OR
212,296,Alan,Holden,11/06/1994,***-**-6916,OR
213,154,Robin,Silva,07/14/1987,***-**-0453,OR
214,527,Nicole,Conrad,06/02/1985,***-**-6985,OR
215,635,Deanna,Russell,07/29/1972,***-**-9236,OR
216,229,Joshua,Bailey,07/20/1986,***-**-4031,OR
217,389,Daniel,Patrick,10/15/1972,***-**-8777,OR
218,220,William,Smith,06/04/1990,***-**-0654,OR
219,454,Kristin,Grant,08/23/1980,***-**-9693,OR
220,488,Kimberly,Velasquez,01/10/1989,***-**-4229,OR
221,41,Michael,Dalton,03/08/1994,***-**-2101,OR
222,522,Jason,Shaw,11/01/1985,***-**-4765,OR
223,269,Jonathon,Olson,07/08/1985,***-**-7767,OR
224,35,Andrea,Perry,02/01/1986,***-**-8897,OR
225,10,Anthony,Nguyen,10/09/1986,***-**-8472,OR
226,397,Anthony,Christensen,05/13/1983,***-**-8703,OR
227,45,Paul,Murphy,07/18/1975,***-**-9454,OR
228,210,Susan,Stewart,04/23/1989,***-**-2712,OR
229,197,Scott,Warren,06/24/1985,***-**-3723,OR
230,354,Jennifer,Avery,08/08/1987,***-**-5062,OR
231,552,Alexander,Vaughan,08/22/1988,***-**-8562,OR
232,414,Laura,Parker,12/05/1973,***-**-6879,OR
233,134,Derek,Harrington,09/15/1990,***-**-2836,OR
234,11,Daniel,Wells,08/27/1994,***-**-7268,OR
235,222,Kelly,Phillips,11/05/1987,***-**-1324,OR
236,442,Lauren,Bennett,06/05/1985,***-**-4874,OR
237,633,Aaron,Wolf,04/09/1978,***-**-1149,OR
238,361,Julia,Wright,09/04/1980,***-**-6702,OR
239,205,Cheryl,Dennis,06/16/1986,***-**-0712,OR
240,18,Donna,Lopez,02/22/1985,***-**-5711,OR
241,459,Matthew,Gibbs,06/12/1984,***-**-9698,OR
242,564,Nancy,Mitchell,02/02/1988,***-**-9365,OR
243,138,Ashley,Bullock,07/23/1983,***-**-5394,OR
244,356,Andrew,Moore,01/03/1982,***-**-5178,OR
245,479,Joseph,Martinez,10/05/1973,***-**-9409,OR
246,100,Yvette,Rodriguez,09/11/1985,***-**-8123,OR
247,451,Carrie,Barber,11/09/1977,***-**-3083,OR
248,432,Ashley,Sherman,10/01/1984,***-**-1501,OR
249,71,Craig,Garcia,08/18/1994,***-**-3695,OR
250,463,Jerome,Brown,07/10/1992,***-**-9456,OR
251,308,Kevin,Beck,03/29/1981,***-**-7304,OR
252,591,Travis,Hansen,07/28/1981,***-**-6746,OR
253,214,Rodney,Cook,12/15/1994,***-**-6232,OR
254,290,Theresa,Brown,02/20/1993,***-**-3478,OR
255,8,Wayne,Mercer,09/21/1989,***-**-7254,OR
256,182,Mary,Lee,04/12/1982,***-**-7361,OR
257,534,Matthew,Martin,07/12/1993,***-**-7803,OR
258,511,Lee,Weber,12/03/1988,***-**-9830,OR
259,32,James,Wilson,07/23/1977,***-**-7343,OR
260,289,Angela,Clark,04/20/1988,***-**-3392,OR
261,643,Allen,Flynn,07/25/1994,***-**-7573,OR
262,234,Darrell,Coleman,08/24/1992,***-**-4198,OR
263,618,Patrick,Wells,08/03/1979,***-**-3209,OR
264,246,Tyler,Beck,10/20/1986,***-**-1385,OR
265,546,Michelle,Jenkins,11/29/1977,***-**-8254,OR
266,455,Scott,Miller,09/27/1991,***-**-3580,OR
267,341,Maria,Mcmillan,09/07/1973,***-**-3730,OR
268,252,Amy,Waller,10/01/1980,***-**-8763,OR
269,351,Jacob,Thomas,03/31/1976,***-**-8896,OR
270,493,Amanda,Jones,07/31/1993,***-**-0691,OR
271,599,Edward,Padilla,10/09/1993,***-**-5222,OR
272,315,Debra,Best,02/20/1973,***-**-3320,OR
273,577,Gregory,Roberts,01/27/1986,***-**-4496,OR
274,415,Suzanne,Wheeler,05/19/1985,***-**-2982,OR
275,303,Ann,Lewis,01/14/1976,***-**-0619,OR
276,478,Michelle,Peterson,06/25/1984,***-**-2154,OR
277,313,Adam,Thomas,12/30/1982,***-**-1297,OR
278,4,Donna,Owens,09/26/1987,***-**-6696,OR
279,249,Pamela,Lyons,09/27/1972,***-**-3318,OR
280,649,Victor,Lopez,10/26/1987,***-**-3964,OR
281,565,Matthew,Miller,04/07/1979,***-**-3517,OR
282,513,Kevin,Foster,10/18/1985,***-**-5090,OR
283,516,Alyssa,Stokes,04/01/1973,***-**-2432,OR
284,545,Mark,Saunders,08/23/1973,***-**-2640,OR
285,38,Michael,Chapman,03/13/1977,***-**-6874,OR
286,309,Cole,Farrell,01/29/1993,***-**-7973,OR
287,578,Michael,Estrada,10/12/1994,***-**-2448,OR
288,178,Shaun,Martinez,12/11/1982,***-**-5793,OR
289,359,Victoria,Moon,01/06/1976,***-**-8604,OR
290,278,Brian,Peters,05/07/1982,***-**-3701,OR
291,292,Jose,Gonzalez,06/01/1992,***-**-9797,OR
292,87,John,Paul,11/20/1973,***-**-7180,OR
293,286,Stephanie,Smith,04/26/1978,***-**-1286,OR
294,221,Lisa,Wilson,11/09/1993,***-**-6950,OR
295,524,Cody,Duran,01/15/1973,***-**-6706,OR
296,453,Ann,Johnson,06/01/1981,***-**-9046,OR
297,468,Paula,Hernandez,10/12/1975,***-**-2951,OR
298,444,Patrick,Barber,07/21/1991,***-**-9891,OR
299,350,Dennis,Alvarado,11/27/1973,***-**-4378,OR
300,462,David,Peterson,06/27/1973,***-**-7312,OR
301,66,Tina,Williams,11/04/1987,***-**-7775,OR
302,495,Bridget,Koch,02/23/1973,***-**-9714,OR
303,586,Adrian,Hernandez,09/08/1993,***-**-5101,OR
304,457,Andrea,Potter,12/26/1983,***-**-6384,OR
305,392,David,Williams,07/07/1990,***-**-6350,OR
306,202,Katherine,Wright,05/10/1987,***-**-3109,OR
307,467,Kevin,Taylor,04/19/1979,***-**-2293,OR
308,627,Latoya,Mitchell,03/15/1991,***-**-3607,OR
309,367,Tricia,Smith,01/24/1992,***-**-7866,OR
310,244,David,Miles,11/26/1993,***-**-2657,OR
311,620,Gina,Hoffman,03/20/1990,***-**-4213,OR
312,642,Tamara,Whitney,09/21/1975,***-**-9208,OR
313,427,John,Garcia,04/14/1987,***-**-3993,OR
314,539,Craig,Nunez,06/13/1972,***-**-6566,OR
315,98,Desiree,Ross,07/07/1981,***-**-2608,OR
316,324,Samantha,Ramirez,08/11/1981,***-**-7086,OR
317,589,David,Patton,11/19/1978,***-**-9705,OR
318,339,Caroline,Lopez,08/09/1981,***-**-1325,OR
319,645,Karen,Malone,09/03/1985,***-**-5442,OR
320,355,Daniel,Wright,12/31/1989,***-**-3803,OR
321,541,Brent,Miller,01/14/1978,***-**-9692,OR
322,360,Mitchell,Meyer,08/31/1991,***-**-7666,OR
323,39,Annette,Flores,04/19/1977,***-**-3196,OR
324,305,Wendy,Hendrix,08/19/1983,***-**-6634,OR
325,474,Alexis,Cross,08/11/1983,***-**-3694,OR
326,571,Jeffrey,Jones,06/27/1981,***-**-1822,OR
327,372,Jessica,Walsh,06/01/1976,***-**-2907,OR
328,559,Sherry,Henderson,02/15/1991,***-**-3768,OR
329,521,Jennifer,Johnson,02/17/1978,***-**-3102,OR
